id,text,sentiment,event_type,market_regime,tone,source,published_at,url,note
11,"미 신용분석가 ""비농업 고용 통계 변동성 커…연준 정책 변경 문턱 높아.... 그는 금리 인상 문턱이 금리 인하보다 더 높지만, 가까운 시일 내 정책은 대체로 유지될 가능성이 크며 이번 고용 보고서도 이런 시각을 강화했다고 덧붙였다. 이번 평가는 미국 고용시장 지표 해석이 한층 복잡해진...",neutral,monetary_policy,neutral,neutral,naver_news_search_api,"Fri, 03 Apr 2026 22:48:00 +0900",https://www.tokenpost.kr/news/breaking/346191,금리 인상
12,"이란전 영향은 아직…美3월 고용 17.8만개↑ 깜짝 증가(종합). 실제로 시장은 불과 몇 주 전까지만 해도 연내 여러 차례 금리 인하를 반영했지만, 이후 금리 인상 가능성까지 일부 반영하는 등 전망이 급변한 바 있다. 이날 뉴욕증시는 ‘굿프라이데이’로 휴장해 주식시장 반응은...",negative,macro_data,risk_off,hawkish,naver_news_search_api,"Fri, 03 Apr 2026 22:09:00 +0900",http://www.edaily.co.kr/news/newspath.asp?newsid=05392326645412512,금리 인상
13,미 고용 서프라이즈에도 비트코인 잠잠…시선은 연준·유가로. 급격한 금리 인상 가능성 제한 크립토 시장은 거시 지표보다 지정학 변수에 민감한 국면 진입 비농업 고용(Non-farm Payrolls): 농업을 제외한 산업에서의 신규 일자리 수 실업률: 경제활동 인구 중 일자리를 찾고 있는 비율...,neutral,monetary_policy,neutral,neutral,naver_news_search_api,"Fri, 03 Apr 2026 21:36:00 +0900",https://www.tokenpost.kr/news/cryptocurrency/346167,금리 인상
14,"[월드 e-브리핑] 블루아울서 또 대규모 환매 요청. 중동 전쟁발 고유가와 엔화 약세가 일본의 물가 상승 우려를 키우자 시장에선 일본은행의 추가 금리 인상 전망이 커졌는데요. 그 여파로 10년물 국채 금리가 뛰자 정부도 투자자 유인을 위해 더 높은 이자를 제시할...",negative,monetary_policy,risk_off,hawkish,naver_news_search_api,"Fri, 03 Apr 2026 20:56:00 +0900",https://www.obsnews.co.kr/news/articleView.html?idxno=1519760,금리 인상
15,"호르무즈 해협 개방 기대감에 국고채 금리 일제히 하락...3년물 연 3.448%. 표면 금리 인상은 국채 이자 비용으로 이어지기 때문에, 일본 국가 재정이 더욱 압박받게 됐다. 표면 금리란 정부가 국채를 산 투자자에게 매년 지급하는 이자율을 말한다. 금리 상승의 배경에는 복잡해진 중동...",neutral,geopolitics,neutral,neutral,naver_news_search_api,"Fri, 03 Apr 2026 20:10:00 +0900",https://www.betanews.net/article/view/beta202604030072,금리 인상
16,"[고병욱의 경제동향] 환율과 부동산 : 보이지 않는 가격, 그러나 절대적.... 원화 가치가 하락하면, 외국인 자본의 유출 가능성이 높아지고, 이를 방어하기 위해 금리를 인상해야 하는 상황이 발생할 수 있다. 금리가 상승하면, 대출 부담이 증가하고, 이는 주택 구매 수요 감소로 이어진다. 특히...",exclude,exclude,exclude,exclude,naver_news_search_api,"Fri, 03 Apr 2026 18:58:00 +0900",https://www.lcnews.co.kr/news/articleView.html?idxno=200191,금리 인상
17,"트럼프 ‘만우절’ 또 급등락 한 주… 전쟁추경, 다주택자규제까지 [영.... 전쟁 장기화 우려에 방산주와 원유 선물 관련 ETF가 상승률 상위권을 휩쓴 반면, 금리 인상 우려가 커지며 바이오 관련 종목들은 줄줄이 하락세를 면치 못했습니다. 뉴욕타임스 보도는 이날 트럼프 대통령의 연설에 대해...",exclude,exclude,exclude,exclude,naver_news_search_api,"Fri, 03 Apr 2026 18:26:00 +0900",https://www.kmib.co.kr/article/view.asp?arcid=0029628076&code=61141111&cp=nv,금리 인상
18,"옥스퍼드 이코노믹스 ""연준, 올해 노동시장 방어 위해 두 차례 금리 인.... 옥스퍼드 이코노믹스는 기본 시나리오로 연준이 유가 상승에 따른 일회성 물가 충격은 넘기고, 향후 노동시장 약세 가능성에 대응하기 위해 올해 두 차례 금리 인하에 나설 것으로 전망했다.",positive,monetary_policy,risk_on,dovish,naver_news_search_api,"Sat, 04 Apr 2026 01:58:00 +0900",https://www.tokenpost.kr/news/breaking/346236,금리 인하
19,"오늘의 금값시세(4월 4일자) 금값 혼조세 ""2026년 전망은"". 중장기적으로는 전쟁이 장기화될 경우 기대 인플레이션 상승으로 실질금리가 낮아지며 금 가격이 지지될 수 있고, 반대로 전쟁이 조기에 마무리되더라도 금리 인하 기대가 살아나면서 금값의 반등 흐름이...",positive,monetary_policy,risk_on,dovish,naver_news_search_api,"Sat, 04 Apr 2026 00:16:00 +0900",https://www.gukjenews.com/news/articleView.html?idxno=3548435,금리 인하
20,美 갤런당 4달러 넘긴 기름값에 이미 둔화된 車시장 '첩첩산중'. 전쟁으로 인한 물가 상승으로 연방준비제도(Fed·연준)의 금리 인하 기대감도 낮아졌다. 이는 자동차 대출 할부금 상환 부담을 더욱 높일 수 있다. 에드먼즈닷컴에 따르면 1분기 자동차 대출 평균 할부금은 사상 최고치인...,negative,inflation,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 00:02:00 +0900",https://www.theguru.co.kr/news/article.html?no=100057,금리 인하
21,"유가 급등·저축 고갈·고용 쇼크… 미국 소비 무너지면 한국 수출도 직격",negative,inflation,risk_off,hawkish,naver_news_search_api,"Sun, 05 Apr 2026 03:26:00 +0900",https://www.g-enews.com/view.php?ud=202604041049173629fbbec65dfb_1,기준금리 인상
22,"호르무즈 해협 장기 봉쇄 조짐으로 인플레이션 그림자가 증시 전반의 수급을 뒤흔든다",negative,geopolitics,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 17:24:00 +0900",https://www.ebn.co.kr/news/articleView.html?idxno=1704446,기준금리 인상
23,"3월 미국 고용 호조로 연준 금리 동결 전망이 강해지고 에너지발 인플레이션 위험에 집중할 것으로 보인다",negative,macro_data,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 16:00:00 +0900",https://www.bloter.net/news/articleView.html?idxno=658660,기준금리 인상
24,"고용 서프라이즈로 경기 침체 공포보다 인플레이션이 핵심 변수로 떠오르며 연준 금리 동결·인상 가능성이 커졌다",negative,macro_data,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 15:12:00 +0900",https://www.ebn.co.kr/news/articleView.html?idxno=1704442,기준금리 인상
25,"IMF는 일본은행에 기준금리를 중립 수준까지 점진적으로 인상할 것을 권고했다",negative,monetary_policy,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 13:38:00 +0900",https://news.einfomax.co.kr/news/articleView.html?idxno=4407713,기준금리 인상
26,"국제 유가 급등으로 국내 기름값과 소비자물가 압력이 커지며 한국은행 기준금리 인상 가능성까지 거론된다",negative,inflation,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 13:36:00 +0900",https://www.ebn.co.kr/news/articleView.html?idxno=1704438,기준금리 인상
27,"미국 고용 지표 호조로 금리 인하 기대감이 약화하면서 달러-원 1개월물이 상승했다",negative,macro_data,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 09:40:00 +0900",https://news.einfomax.co.kr/news/articleView.html?idxno=4407708,금리 인하 기대 후퇴
28,"미국 3월 고용 17만8000명 깜짝 증가로 금리 인하 기대가 빠르게 식었다",negative,macro_data,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 06:54:00 +0900",https://www.bntnews.co.kr/article/view/bnt202604040015,금리 인하 기대 후퇴
29,"미국 고용폭탄으로 원·달러 환율이 반등했고 연준의 연내 금리 인하 가능성은 크게 후퇴했다",negative,macro_data,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 06:56:00 +0900",https://www.bntnews.co.kr/article/view/bnt202604040016,금리 인하 기대 후퇴
30,"미국 2년채 금리가 고용지표 호조에 3.8%대 후반까지 상승하며 금리 인하 시점 지연 관측이 확산했다",negative,monetary_policy,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 03:58:00 +0900",https://www.newsis.com/view/NISX20260404_0003577671,금리 인하 기대 후퇴
31,"미국 고유가 속에서도 예상 밖 고용 안정으로 스태그플레이션은 피했지만 인플레이션 위험은 더 고조됐다",negative,inflation,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 23:01:00 +0900",https://www.ytn.co.kr/_ln/0104_202604042301475940,인플레이션 우려
32,"유가 상승 충격을 계기로 미국에서 태양광과 전기차가 기후가 아니라 에너지 안보 수단으로 다시 주목받고 있다",positive,market_regime,risk_on,dovish,naver_news_search_api,"Sat, 04 Apr 2026 22:02:00 +0900",https://www.segye.com/newsView/20260401523832?OutUrl=naver,인플레이션 우려
33,"강한 고용지표와 인플레이션 우려로 미 금리 인하 기대가 물거품이 될 수 있다는 관측이 커졌다",negative,macro_data,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 19:14:00 +0900",https://www.bigtanews.co.kr/article/view/big202604040003,인플레이션 우려
34,"전쟁 여파는 남아 있지만 채권시장은 관심이 미국 물가와 금통위로 이동하며 변동성 속 강세를 보였다",neutral,market_regime,neutral,neutral,naver_news_search_api,"Sat, 04 Apr 2026 19:43:00 +0900",http://www.etoday.co.kr/news/view/2572591,국제유가 급등
35,"중동전쟁 이후 미국 1년 기대인플레이션이 크게 높아졌지만 장기 기대인플레이션은 안정적이어서 기준금리 인상 가능성은 낮다는 분석",neutral,inflation,neutral,neutral,naver_news_search_api,"Sat, 04 Apr 2026 21:50:00 +0900",http://www.edaily.co.kr/news/newspath.asp?newsid=02125446645412840,국제유가 급등
